Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,180.44,180.64,177.27,179.64,179.64,305600
2017-05-25,180.22,181.86,177.88,179.01,179.01,408600
2017-05-26,178.95,179.36,176.2,176.5,176.5,548300
2017-05-30,175.67,176.1,170.44,173.82,173.82,732900
2017-05-31,174.27,174.32,166.44,170.5,170.5,3476300
2017-06-01,172.47,174.16,167.61,173.44,173.44,689000
2017-06-02,170.72,171.21,168.21,169.27,169.27,638600
2017-06-05,168.99,171.94,168.99,169.49,169.49,509700
2017-06-06,167.16,170.2,165.08,167.92,167.92,637400
2017-06-07,169.48,170.78,168.14,169.7,169.7,484200
2017-06-08,169.11,179.24,169.06,175.56,175.56,501800
2017-06-09,177.21,183.54,177.21,180.66,180.66,657800
2017-06-12,180.89,184.62,180.3,182.17,182.17,670500
2017-06-13,183.31,185.25,182.22,183.31,183.31,502400
2017-06-14,181.68,183.07,177.1,182.56,182.56,484800
2017-06-15,180.75,183.51,178.52,179.78,179.78,438600
2017-06-16,179.69,180.91,177.66,178.88,178.88,633000
2017-06-19,180.47,182.91,179.86,180.75,180.75,379400
2017-06-20,179.78,180.43,177.08,177.12,177.12,231800
2017-06-21,177.82,180.01,173.51,173.85,173.85,458800
2017-06-22,173.75,174.64,170.82,174.25,174.25,420700
2017-06-23,175.58,175.99,170.62,170.84,170.84,574300
2017-06-26,172.57,175.37,170.52,173.16,173.16,380700
2017-06-27,174.27,177.75,173.06,174.45,174.45,442200
2017-06-28,176.27,177.45,174.74,176.09,176.09,410000
2017-06-29,179.58,181.49,175.89,177.23,177.23,475000
2017-06-30,178.05,178.05,174.47,175.79,175.79,551100
2017-07-03,177.17,181.69,176.01,179.44,179.44,305900
2017-07-05,181.14,181.58,177.32,180.6,180.6,490900
2017-07-06,180.24,182.51,176.76,177.11,177.11,536700
2017-07-07,178.5,181.98,177.15,181.72,181.72,423900
2017-07-10,180.52,182.35,178.46,180.92,180.92,408800
2017-07-11,181.55,183.79,179.55,182.42,182.42,498200
2017-07-12,182.12,183.63,181.02,182.17,182.17,490500
2017-07-13,182.76,183.56,181.65,183.07,183.07,470500
2017-07-14,180.8,182.91,178.08,181.7,181.7,397000
2017-07-17,180.55,181.79,177.66,180.57,180.57,348400
2017-07-18,179.15,181.75,178.27,179.96,179.96,387000
2017-07-19,180.23,182.19,178.9,180.07,180.07,241500
2017-07-20,180.8,181.94,177.81,179.96,179.96,250200
2017-07-21,179.43,180.48,176.73,177.42,177.42,271100
2017-07-24,177.19,179.09,176.34,178.27,178.27,748500
2017-07-25,181.65,186.19,181.65,182.99,182.99,719800
2017-07-26,182.69,184.25,177.98,178.65,178.65,435300
2017-07-27,180.06,181.84,177.4,179.14,179.14,548300
2017-07-28,178.0,178.0,172.0,176.99,176.99,755500
2017-07-31,178.47,179.17,177.42,178.44,178.44,591500
2017-08-01,180.2,184.72,179.28,183.39,183.39,675500
2017-08-02,182.98,184.17,181.75,183.33,183.33,347400
2017-08-03,183.5,184.74,181.15,181.44,181.44,426600
2017-08-04,184.01,186.8,182.2,184.89,184.89,440000
2017-08-07,185.83,187.71,182.68,182.85,182.85,318600
2017-08-08,183.14,187.26,182.76,184.01,184.01,505100
2017-08-09,182.13,183.94,178.79,179.55,179.55,291200
2017-08-10,177.78,178.31,172.55,172.82,172.82,360200
2017-08-11,172.26,174.62,170.27,172.03,172.03,513100
2017-08-14,175.16,176.77,173.19,174.33,174.33,397400
2017-08-15,175.89,177.04,174.57,174.66,174.66,330000
2017-08-16,175.24,176.49,173.28,174.13,174.13,378400
2017-08-17,173.43,174.64,165.41,166.3,166.3,447800
2017-08-18,165.65,168.26,163.69,166.59,166.59,428500
2017-08-21,166.67,167.63,163.91,164.84,164.84,345300
2017-08-22,165.96,168.52,165.42,168.34,168.34,266200
2017-08-23,166.31,170.9,165.02,168.43,168.43,362000
2017-08-24,169.57,169.96,167.96,169.34,169.34,239100
2017-08-25,169.68,171.49,168.53,169.64,169.64,303300
2017-08-28,169.79,170.88,167.54,167.95,167.95,190900
2017-08-29,165.78,166.63,163.75,165.91,165.91,356500
2017-08-30,166.57,170.65,165.8,169.63,169.63,387700
2017-08-31,169.83,171.67,169.0,169.34,169.34,381600
2017-09-01,169.71,173.14,169.31,172.53,172.53,267900
2017-09-05,170.81,171.66,165.31,167.18,167.18,386500
2017-09-06,168.03,169.34,166.98,167.84,167.84,269500
2017-09-07,167.64,167.75,159.44,160.72,160.72,625000
2017-09-08,160.52,164.44,159.68,162.46,162.46,311100
2017-09-11,165.23,169.99,162.94,168.57,168.57,363000
2017-09-12,169.52,172.61,168.08,171.24,171.24,387500
2017-09-13,171.54,172.03,170.1,171.42,171.42,318400
2017-09-14,171.76,172.23,168.9,168.98,168.98,251500
2017-09-15,168.76,171.01,167.99,170.59,170.59,978900
2017-09-18,170.83,173.26,169.98,172.65,172.65,587700
2017-09-19,173.01,175.27,172.31,172.88,172.88,458800
2017-09-20,172.42,177.6,170.14,177.22,177.22,509200
2017-09-21,177.25,179.5,176.16,179.06,179.06,299000
2017-09-22,177.72,180.37,177.72,179.82,179.82,316100
2017-09-25,178.94,182.18,178.61,179.93,179.93,302300
2017-09-26,179.51,181.58,179.34,180.68,180.68,357600
2017-09-27,183.62,187.01,182.71,186.42,186.42,484100
2017-09-28,187.0,187.55,183.67,186.59,186.59,308800
2017-09-29,186.58,191.38,186.58,187.09,187.09,409800
2017-10-02,186.54,188.47,184.75,187.96,187.96,527600
2017-10-03,188.91,189.62,185.26,186.13,186.13,279600
2017-10-04,184.89,186.15,182.41,182.69,182.69,301100
2017-10-05,183.6,187.67,183.6,187.26,187.26,354700
2017-10-06,188.44,191.47,187.24,189.1,189.1,427700
2017-10-09,189.23,189.23,186.9,188.0,188.0,222500
2017-10-10,189.16,189.71,187.42,188.93,188.93,376400
2017-10-11,188.92,189.22,186.77,188.07,188.07,513000
2017-10-12,188.38,189.43,186.97,187.43,187.43,347100
2017-10-13,186.16,186.16,183.51,184.16,184.16,376400
2017-10-16,184.63,186.5,184.43,185.2,185.2,194000
2017-10-17,185.74,185.95,181.51,181.64,181.64,257500
2017-10-18,182.3,183.5,181.38,182.7,182.7,264300
2017-10-19,181.0,186.61,180.33,185.18,185.18,252100
2017-10-20,189.39,190.99,188.77,189.47,189.47,416800
2017-10-23,189.59,189.63,186.74,186.8,186.8,209400
2017-10-24,188.53,191.49,187.95,188.99,188.99,273500
2017-10-25,189.49,190.1,185.41,188.58,188.58,399500
2017-10-26,188.73,192.94,186.16,192.37,192.37,390900
2017-10-27,209.98,223.82,206.98,216.69,216.69,1875500
2017-10-30,217.46,222.52,216.76,220.94,220.94,962000
2017-10-31,221.86,221.86,218.01,219.28,219.28,556100
2017-11-01,220.45,221.82,217.85,218.73,218.73,514800
2017-11-02,218.42,220.61,215.78,218.92,218.92,433000
2017-11-03,217.34,220.4,215.57,219.52,219.52,363600
2017-11-06,219.49,220.1,217.1,217.69,217.69,305900
2017-11-07,218.03,218.12,212.45,215.06,215.06,554200
