Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,249.3,254.37,246.12,253.33,253.33,2225100
2017-05-25,252.65,254.45,252.0,252.97,252.97,1552300
2017-05-26,252.59,253.62,250.51,250.8,250.8,833100
2017-05-30,250.4,251.55,246.34,246.54,246.54,1366800
2017-05-31,247.31,247.98,244.28,247.77,247.77,1893500
2017-06-01,250.03,253.11,248.61,252.38,252.38,1548100
2017-06-02,252.98,258.26,252.14,256.65,256.65,1731800
2017-06-05,257.37,259.24,255.73,258.5,258.5,1579600
2017-06-06,257.06,258.3,254.96,257.16,257.16,1080700
2017-06-07,257.71,258.57,255.11,255.43,255.43,1153200
2017-06-08,255.25,258.11,254.52,257.17,257.17,1141200
2017-06-09,256.31,262.37,254.87,259.89,259.89,1575900
2017-06-12,260.23,265.48,259.57,262.11,262.11,1576700
2017-06-13,261.97,262.12,259.55,261.42,261.42,1312400
2017-06-14,255.56,257.38,250.88,253.37,253.37,3067600
2017-06-15,253.6,255.76,253.15,255.02,255.02,1443700
2017-06-16,255.49,256.77,250.89,251.74,251.74,2427200
2017-06-19,253.23,262.28,252.94,260.54,260.54,1956200
2017-06-20,260.82,269.0,259.61,266.0,266.0,2250200
2017-06-21,266.11,279.81,266.11,278.6,278.6,3158500
2017-06-22,279.86,284.21,278.3,280.57,280.57,2838900
2017-06-23,282.33,284.46,277.58,280.32,280.32,2439600
2017-06-26,281.74,282.89,277.64,279.81,279.81,1279500
2017-06-27,279.0,279.4,271.2,271.25,271.25,1731500
2017-06-28,271.25,275.51,269.09,274.64,274.64,1171900
2017-06-29,275.0,275.2,268.91,271.88,271.88,1035300
2017-06-30,273.7,276.09,269.58,271.36,271.36,1373000
2017-07-03,272.62,275.11,272.12,272.52,272.52,612500
2017-07-05,272.97,278.37,272.61,277.71,277.71,1326300
2017-07-06,275.57,276.89,271.0,271.96,271.96,1309700
2017-07-07,271.9,274.86,270.8,273.93,273.93,906300
2017-07-10,273.5,274.08,270.31,273.58,273.58,942200
2017-07-11,273.1,274.1,269.5,271.76,271.76,922700
2017-07-12,274.15,276.45,272.33,275.08,275.08,1406500
2017-07-13,276.04,280.75,272.61,278.36,278.36,1422500
2017-07-14,279.74,281.34,277.77,280.81,280.81,921000
2017-07-17,280.1,284.31,279.51,282.65,282.65,1531200
2017-07-18,283.01,283.68,280.31,282.6,282.6,1126700
2017-07-19,283.52,285.84,280.51,281.95,281.95,1103500
2017-07-20,282.18,284.32,280.75,281.44,281.44,1049200
2017-07-21,280.25,283.0,280.02,282.92,282.92,985400
2017-07-24,283.0,285.35,280.01,284.7,284.7,1476200
2017-07-25,290.01,291.91,280.24,282.96,282.96,3110000
2017-07-26,288.55,296.95,285.02,295.61,295.61,3014600
2017-07-27,295.14,296.8,285.03,287.95,287.95,1721500
2017-07-28,287.48,289.3,284.0,287.44,287.44,869200
2017-07-31,287.6,290.96,287.59,289.59,289.59,1272200
2017-08-01,290.8,291.86,289.55,291.15,291.15,1195400
2017-08-02,290.15,291.62,287.17,288.0,288.0,1279400
2017-08-03,288.85,289.01,285.0,286.09,286.09,882800
2017-08-04,286.89,288.63,284.45,288.27,288.27,746000
2017-08-07,289.18,291.17,288.17,291.01,291.01,1035600
2017-08-08,291.18,291.7,288.5,289.26,289.26,931200
2017-08-09,285.79,289.47,285.73,288.74,288.74,777500
2017-08-10,286.72,287.11,280.88,281.15,281.15,1378000
2017-08-11,282.4,285.9,281.29,283.68,283.68,727200
2017-08-14,285.08,286.58,284.0,286.05,286.05,786800
2017-08-15,287.1,289.71,285.51,287.92,287.92,861700
2017-08-16,291.16,296.91,290.29,294.08,294.08,1684300
2017-08-17,293.07,294.0,284.29,284.42,284.42,1590600
2017-08-18,283.31,285.67,281.65,281.77,281.77,814100
2017-08-21,280.95,284.05,280.6,283.15,283.15,850300
2017-08-22,284.13,288.15,283.11,286.72,286.72,945000
2017-08-23,286.0,286.0,282.26,282.64,282.64,1047400
