Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,396.96,396.96,393.0,396.31,350.27,493000
2017-05-25,399.58,407.93,397.68,406.36,359.15,969600
2017-05-26,404.24,407.75,403.12,407.02,359.73,737300
2017-05-30,404.84,408.55,404.74,406.82,359.56,746500
2017-05-31,408.0,409.58,406.09,409.24,361.7,917200
2017-06-01,408.28,414.09,407.79,413.38,367.6,1324100
2017-06-02,411.8,416.54,410.23,414.71,368.78,878700
2017-06-05,414.73,417.71,413.91,414.22,368.35,424700
2017-06-06,411.31,416.56,411.05,413.83,368.0,667200
2017-06-07,415.47,415.85,413.27,413.8,367.97,584300
2017-06-08,413.8,417.63,413.61,415.23,369.24,683300
2017-06-09,416.57,419.04,415.36,418.5,372.15,679200
2017-06-12,417.75,420.0,416.9,418.31,371.98,783700
2017-06-13,419.31,421.25,416.86,419.31,372.87,373800
2017-06-14,417.87,421.61,416.77,421.49,374.81,519300
2017-06-15,418.8,422.62,417.46,422.37,375.59,475400
2017-06-16,423.22,423.47,419.69,420.51,373.94,1182100
2017-06-19,423.24,428.47,421.96,428.38,380.94,573000
2017-06-20,426.5,427.66,424.54,424.69,377.66,487500
2017-06-21,425.78,426.03,420.34,420.74,374.14,580500
2017-06-22,420.29,424.74,419.45,423.17,376.31,359800
2017-06-23,424.35,426.13,420.26,421.62,374.93,811800
2017-06-26,423.59,426.22,422.26,424.69,377.66,389600
2017-06-27,425.87,426.5,421.82,422.13,375.38,416700
2017-06-28,426.32,427.19,422.62,426.85,379.58,391400
2017-06-29,429.9,430.84,421.05,423.24,376.37,748900
2017-06-30,425.8,426.87,422.28,422.41,375.63,502000
2017-07-03,425.92,430.91,425.04,428.82,381.33,379900
2017-07-05,428.82,429.92,426.26,428.77,381.29,446700
2017-07-06,426.99,428.57,424.94,425.19,378.1,335400
2017-07-07,427.55,433.04,425.95,432.38,384.5,390000
2017-07-10,431.71,438.85,431.23,436.24,387.93,517000
2017-07-11,436.74,437.01,429.67,431.91,384.08,507200
2017-07-12,433.5,436.52,432.14,435.29,387.08,468600
2017-07-13,436.66,438.57,435.14,437.88,389.39,477600
2017-07-14,436.43,442.84,435.27,438.34,389.8,766200
2017-07-17,428.0,431.77,422.88,424.63,377.6,1247300
2017-07-18,421.92,427.15,420.2,426.88,379.6,848100
2017-07-19,429.04,429.58,424.76,426.46,379.23,517200
2017-07-20,426.56,427.6,425.02,427.28,379.96,396600
2017-07-21,426.0,429.55,425.45,428.65,381.18,440700
