Date,Open,High,Low,Close,Adj Close,Volume
2017-05-24,64.99,65.05,64.53,64.77,64.77,1257800
2017-05-25,64.77,67.04,64.77,66.27,66.27,2150600
2017-05-26,66.44,66.78,64.31,64.75,64.75,2171600
2017-05-30,64.46,65.31,64.36,65.2,65.2,1403100
2017-05-31,65.33,66.32,65.13,66.26,66.26,1768300
2017-06-01,66.23,67.58,66.1,67.42,67.42,1318200
2017-06-02,67.5,67.5,66.26,66.43,66.43,1393900
2017-06-05,66.29,66.64,65.43,65.69,65.69,970800
2017-06-06,65.59,65.64,64.81,65.48,65.48,810600
2017-06-07,65.17,65.25,63.95,64.05,64.05,2455400
2017-06-08,64.05,64.25,63.0,63.61,63.61,1872700
2017-06-09,63.5,64.54,63.46,64.47,64.47,1038700
2017-06-12,64.59,65.91,64.59,65.22,65.22,1529800
2017-06-13,65.18,66.14,64.91,65.61,65.61,1024400
2017-06-14,65.87,66.16,65.41,65.97,65.97,1045900
2017-06-15,66.01,66.08,65.05,65.56,65.56,786400
2017-06-16,65.75,66.22,65.02,66.17,66.17,1774100
2017-06-19,66.01,66.26,65.86,66.05,66.05,970200
2017-06-20,65.87,65.88,64.82,65.08,65.08,1233100
2017-06-21,65.16,65.38,63.94,64.29,64.29,1464700
2017-06-22,64.29,65.25,63.93,65.07,65.07,1972700
2017-06-23,65.19,65.44,64.78,64.89,64.89,2131200
2017-06-26,63.86,64.89,63.77,64.45,64.45,1150000
2017-06-27,64.46,64.88,64.06,64.12,64.12,1005200
2017-06-28,64.5,65.15,64.12,64.72,64.72,932400
2017-06-29,64.81,64.93,63.6,64.06,64.06,880800
2017-06-30,64.21,65.29,64.11,64.76,64.76,1671600
2017-07-03,64.91,64.96,64.35,64.38,64.38,444300
2017-07-05,64.41,64.54,63.49,64.1,64.1,1327000
2017-07-06,64.1,64.24,62.98,63.05,63.05,1420900
2017-07-07,63.05,63.48,62.35,63.42,63.42,1060000
2017-07-10,63.16,63.42,62.11,62.34,62.34,2410300
2017-07-11,62.61,63.49,62.43,63.36,63.36,1434600
2017-07-12,63.67,64.23,63.46,63.88,63.88,1239000
2017-07-13,63.9,64.46,63.36,64.24,64.24,800100
2017-07-14,64.18,65.0,64.13,64.7,64.7,1359500
2017-07-17,64.83,65.74,64.52,65.27,65.27,1382100
2017-07-18,65.26,65.32,64.51,65.21,65.21,1544200
2017-07-19,65.35,65.67,65.05,65.41,65.41,874700
2017-07-20,65.4,66.64,65.4,66.42,66.42,1351700
2017-07-21,66.18,66.48,65.5,65.76,65.76,1029800
2017-07-24,65.75,66.15,65.32,65.48,65.48,996700
2017-07-25,65.55,65.95,64.89,65.37,65.37,989500
2017-07-26,65.24,65.26,64.23,64.89,64.89,866700
2017-07-27,64.75,64.91,64.17,64.88,64.88,998600
2017-07-28,64.89,65.6,64.69,65.47,65.47,763100
2017-07-31,65.57,65.62,64.72,64.78,64.78,933500
2017-08-01,65.03,65.28,64.05,64.13,64.13,1666700
2017-08-02,64.49,65.34,58.19,58.46,58.46,4942600
2017-08-03,58.51,59.04,57.96,58.5,58.5,2405800
2017-08-04,58.46,58.55,57.3,57.7,57.7,1669200
2017-08-07,57.7,57.76,56.84,56.85,56.85,1945800
2017-08-08,56.85,57.15,55.94,57.05,57.05,2437500
2017-08-09,56.72,57.07,56.0,56.52,56.52,2014600
2017-08-10,56.32,56.48,55.59,56.13,56.13,1579900
2017-08-11,56.1,56.77,56.0,56.55,56.55,1332500
2017-08-14,57.0,57.33,56.79,56.92,56.92,2211400
2017-08-15,56.91,57.23,56.71,56.98,56.98,1243300
2017-08-16,57.16,57.51,57.02,57.34,57.34,951200
2017-08-17,57.3,57.91,56.54,56.56,56.56,1021800
2017-08-18,56.5,56.66,56.01,56.23,56.23,973300
2017-08-21,56.29,56.71,55.87,56.47,56.47,1223000
2017-08-22,56.5,56.9,56.46,56.78,56.78,1026400
2017-08-23,56.68,56.91,56.31,56.71,56.71,866000
2017-08-24,56.96,57.71,56.8,56.94,56.94,1261700
2017-08-25,57.15,57.8,57.07,57.23,57.23,1180500
2017-08-28,57.54,57.78,57.2,57.32,57.32,1053400
2017-08-29,57.13,57.34,56.59,57.07,57.07,973700
2017-08-30,57.06,57.6,56.8,57.52,57.52,1069900
2017-08-31,57.71,58.68,57.45,58.56,58.56,1624200
2017-09-01,58.68,58.83,57.38,57.88,57.88,1266900
2017-09-05,57.69,57.87,56.93,57.23,57.23,1212400
2017-09-06,57.5,57.53,56.77,57.42,57.42,1369900
2017-09-07,57.6,57.6,57.02,57.37,57.37,1376700
2017-09-08,57.3,58.37,57.04,58.31,58.31,925300
2017-09-11,58.96,60.4,58.96,59.8,59.8,1917000
2017-09-12,59.66,60.68,59.59,60.29,60.29,1911500
2017-09-13,60.15,60.45,59.62,59.78,59.78,1221400
2017-09-14,59.75,59.92,59.5,59.71,59.71,1234900
2017-09-15,59.53,59.68,59.12,59.63,59.63,2154800
2017-09-18,59.68,61.03,59.68,60.71,60.71,2169700
2017-09-19,60.69,60.69,58.8,59.28,59.28,2038900
2017-09-20,59.27,60.85,59.2,60.53,60.53,1919200
2017-09-21,60.44,61.52,60.24,61.26,61.26,2206200
2017-09-22,61.23,61.69,56.14,57.49,57.49,7743500
2017-09-25,57.43,58.26,57.01,57.68,57.68,2344000
2017-09-26,57.82,58.59,57.33,58.47,58.47,1803100
2017-09-27,58.47,58.98,57.81,58.31,58.31,1736300
2017-09-28,58.42,58.83,57.95,58.47,58.47,1501200
2017-09-29,58.77,59.48,58.72,59.39,59.39,1371900
2017-10-02,59.55,60.59,59.55,60.18,60.18,1762900
2017-10-03,60.44,61.14,60.04,60.91,60.91,1095000
2017-10-04,60.85,61.04,59.89,59.92,59.92,1484100
2017-10-05,59.91,60.56,59.66,60.38,60.38,1503900
2017-10-06,60.18,60.41,59.68,59.82,59.82,1222000
2017-10-09,56.91,57.44,53.86,53.89,53.89,5943800
2017-10-10,55.41,55.55,53.58,54.32,54.32,6167600
2017-10-11,54.55,55.9,54.33,54.56,54.56,4317800
2017-10-12,54.57,54.74,53.86,54.4,54.4,2196100
2017-10-13,54.22,54.97,53.78,54.73,54.73,2479300
2017-10-16,55.23,57.58,55.14,56.93,56.93,3385700
2017-10-17,56.87,57.11,56.45,56.49,56.49,2239600
2017-10-18,56.62,58.76,56.62,57.72,57.72,2788000
2017-10-19,57.66,59.3,57.44,58.7,58.7,2148700
2017-10-20,58.99,59.97,58.99,59.35,59.35,2576600
2017-10-23,59.98,61.77,59.93,61.0,61.0,4153700
2017-10-24,60.85,62.52,60.6,62.5,62.5,3238600
2017-10-25,62.05,62.97,61.89,62.6,62.6,2474200
2017-10-26,62.64,63.04,61.41,61.53,61.53,2426600
2017-10-27,61.55,62.38,61.4,61.89,61.89,2234500
2017-10-30,61.75,62.16,60.84,61.07,61.07,2069400
2017-10-31,60.98,61.28,60.15,60.74,60.74,1629700
2017-11-01,60.85,61.12,59.32,59.83,59.83,2528600
2017-11-02,59.94,60.08,59.12,59.52,59.52,1639700
2017-11-03,59.36,59.96,58.62,59.91,59.91,1533600
2017-11-06,59.91,60.84,59.27,59.41,59.41,1671400
2017-11-07,59.6,59.81,58.39,58.96,58.96,2026500
2017-11-08,53.59,55.45,52.51,54.34,54.34,7460300
2017-11-09,54.31,55.88,54.31,55.11,55.11,2957600
2017-11-10,54.77,55.26,54.66,55.0,55.0,1805700
2017-11-13,54.54,55.31,54.54,54.99,54.99,1329500
2017-11-14,54.85,54.99,53.91,54.66,54.66,1058300
2017-11-15,54.21,54.58,53.78,54.38,54.38,1234100
2017-11-16,54.63,55.68,54.63,55.64,55.64,1556600
2017-11-17,55.31,55.63,54.88,54.91,54.91,1688200
2017-11-20,54.74,54.85,54.21,54.76,54.76,1387500
2017-11-21,54.68,55.29,54.38,55.17,55.17,1203600
2017-11-22,55.23,56.49,55.12,55.39,55.39,2089300
2017-11-24,56.2,57.23,56.08,57.15,57.15,1951000
2017-11-27,57.2,58.18,56.53,57.99,57.99,2886900
2017-11-28,57.99,58.58,57.39,58.48,58.48,1676400
2017-11-29,58.48,61.09,58.44,60.64,60.64,2626900
2017-11-30,60.73,61.59,59.91,61.06,61.06,2542500
2017-12-01,61.0,61.6,60.05,61.11,61.11,2025600
2017-12-04,61.39,64.14,61.25,61.93,61.93,2796300
2017-12-05,61.78,61.91,60.09,60.93,60.93,1316400
2017-12-06,68.57,69.65,66.66,69.2,69.2,9753900
2017-12-07,69.5,69.96,66.58,67.14,67.14,4089300
2017-12-08,67.46,68.31,66.81,67.71,67.71,2587400
2017-12-11,68.84,69.55,68.21,69.51,69.51,2445600
2017-12-12,70.0,70.58,69.69,70.4,70.4,2538800
2017-12-13,70.25,71.44,69.52,71.3,71.3,2478800
2017-12-14,71.17,71.47,68.82,69.03,69.03,2700700
2017-12-15,69.13,70.64,69.03,70.52,70.52,3010400
2017-12-18,70.7,71.66,69.79,71.07,71.07,2238800
2017-12-19,71.05,72.17,70.98,71.8,71.8,1967000
2017-12-20,71.8,72.14,71.42,71.75,71.75,1662500
2017-12-21,71.88,72.19,71.61,71.9,71.9,1193700
2017-12-22,72.14,72.2,71.72,71.98,71.98,642200
2017-12-26,72.0,72.61,71.75,72.1,72.1,728700
2017-12-27,72.19,72.33,71.88,72.31,72.31,614200
2017-12-28,72.64,72.77,71.82,72.36,72.36,714100
2017-12-29,72.6,72.93,72.17,72.25,72.25,728200
2018-01-02,72.27,73.13,71.93,72.54,72.54,1198700
2018-01-03,72.34,73.03,71.77,72.91,72.91,1301100
2018-01-04,74.3,75.14,73.61,74.85,74.85,2283400
2018-01-05,75.0,75.6,74.21,75.53,75.53,1930000
2018-01-08,75.55,75.81,74.79,75.66,75.66,1860700
